"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.60026245117E+03   1.60100000000E+03  3327-66-18  
   1.69325939941E+03   1.68800000000E+03  3306-1-32   
   1.57419140625E+03   1.54600000000E+03  3299-38-41  
   2.93030151367E+03   2.98200000000E+03  3311-15-337 
   1.60734582520E+03   1.57900000000E+03  3313-32-7   
   1.59051086426E+03   1.56000000000E+03  3313-38-1   
   1.59475085449E+03   1.60100000000E+03  3313-56-26  
   1.61435437012E+03   1.62600000000E+03  3313-66-18  
   1.59210498047E+03   1.60000000000E+03  3303-56-26  
   1.61466162109E+03   1.62400000000E+03  3303-66-18  
   1.69157458496E+03   1.68000000000E+03  3302-12-32  
   1.60068701172E+03   1.60600000000E+03  3302-56-26  
   1.61969458008E+03   1.63300000000E+03  3302-66-18  
   1.68250561523E+03   1.68000000000E+03  3320-2-305  
   1.56867761230E+03   1.55000000000E+03  3324-26-339 
   1.62480273438E+03   1.60400000000E+03  3312-16-335 
   1.59645312500E+03   1.57600000000E+03  3312-21-335 
   1.55593200684E+03   1.53700000000E+03  3312-32-1   
   1.54254785156E+03   1.52300000000E+03  3312-36-51  
   1.69495178223E+03   1.69200000000E+03  3294-1-60   
   1.65526171875E+03   1.65000000000E+03  3291-16-362 
   1.66746325684E+03   1.67100000000E+03  3288-12-32  
   1.61919177246E+03   1.62200000000E+03  3288-21-335 
   1.58267480469E+03   1.60200000000E+03  3288-32-7   
   1.63927734375E+03   1.62800000000E+03  3282-21-336 
   1.60344238281E+03   1.60400000000E+03  3282-32-7   
   1.58842993164E+03   1.58400000000E+03  3282-38-10  
   1.71325976562E+03   1.69900000000E+03  3285-5-179  
   1.70498266602E+03   1.69000000000E+03  3285-11-25  
   1.68623803711E+03   1.66600000000E+03  3285-16-341 
   1.66029541016E+03   1.63900000000E+03  3285-21-336 
   1.70319555664E+03   1.67900000000E+03  3279-12-39  
   1.68810217285E+03   1.65000000000E+03  3279-16-362 
   1.66215270996E+03   1.63900000000E+03  3279-21-341 
   1.64480358887E+03   1.62400000000E+03  3279-27-28  
   1.66155541992E+03   1.63500000000E+03  3281-21-336 
   1.61074816895E+03   1.57300000000E+03  3281-37-350 
   1.67627880859E+03   1.65200000000E+03  3268-21-274 
   1.62667675781E+03   1.57600000000E+03  3268-38-6   
   1.70814758301E+03   1.68400000000E+03  3259-16-348 
   1.64823413086E+03   1.61900000000E+03  3259-32-7   
   1.63481530762E+03   1.60600000000E+03  3259-36-350 
   1.73960754395E+03   1.72300000000E+03  3237-1-365  
   1.73710742188E+03   1.72100000000E+03  3237-3-355  
   1.72838281250E+03   1.71300000000E+03  3237-12-59  
   1.72838281250E+03   1.71300000000E+03  3237-12-59  
   1.73733459473E+03   1.71900000000E+03  3234-6-284  
   1.72865307617E+03   1.71000000000E+03  3234-12-32  
   1.71631909180E+03   1.68900000000E+03  3234-16-348 
   1.68925476074E+03   1.66100000000E+03  3231-21-341 
   1.67236730957E+03   1.64200000000E+03  3231-27-12  
   1.63848583984E+03   1.59500000000E+03  3231-38-3   
   1.60016064453E+03   1.60400000000E+03  3382-48-363 
   1.60016064453E+03   1.61900000000E+03  3383-48-363 
   1.60948901367E+03   1.63200000000E+03  3363-56-23  
   1.61795214844E+03   1.64600000000E+03  3363-66-18  
   1.70157824707E+03   1.69400000000E+03  3364-11-342 
   1.68666052246E+03   1.67100000000E+03  3364-16-362 
   1.66970544434E+03   1.64600000000E+03  3364-21-341 
   1.65018908691E+03   1.63900000000E+03  3364-27-28  
   1.63423596191E+03   1.62100000000E+03  3364-32-4   
   1.61945971680E+03   1.61700000000E+03  3364-36-349 
   1.60591271973E+03   1.61600000000E+03  3364-43-19  
   1.59959545898E+03   1.62200000000E+03  3364-49-54  
   1.60574755859E+03   1.62600000000E+03  3364-56-25  
   1.60829064941E+03   1.62800000000E+03  3364-60-319 
   1.61443933105E+03   1.63500000000E+03  3364-65-298 
   1.62428356934E+03   1.64800000000E+03  3364-71-13  
   1.62597607422E+03   1.65200000000E+03  3364-71-365 
   1.60098559570E+03   1.62300000000E+03  3370-56-25  
   1.60429016113E+03   1.62800000000E+03  3370-61-72  
   1.61067395020E+03   1.63700000000E+03  3370-66-18  
   1.67076354980E+03   1.65900000000E+03  3353-21-335 
   1.65144934082E+03   1.64600000000E+03  3353-27-12  
   1.60778100586E+03   1.62700000000E+03  3353-56-25  
   1.61738391113E+03   1.63500000000E+03  3353-66-18  
   1.60904724121E+03   1.62800000000E+03  3351-56-25  
   1.61191491699E+03   1.62900000000E+03  3351-61-72  
   1.61827404785E+03   1.63900000000E+03  3351-66-18  
   1.63596728516E+03   1.64300000000E+03  3310-56-23  
   1.63920031738E+03   1.64400000000E+03  3307-56-23  
   1.63815588379E+03   1.64900000000E+03  3307-61-73  
   1.64512451172E+03   1.67600000000E+03  3307-66-20  
   1.62487280273E+03   1.63000000000E+03  3292-56-25  
   1.62750195312E+03   1.63800000000E+03  3292-61-73  
   1.63699145508E+03   1.66300000000E+03  3292-66-19  
   1.72250097656E+03   1.70600000000E+03  3278-11-296 
   1.70790856934E+03   1.69300000000E+03  3278-16-343 
   1.68489538574E+03   1.66400000000E+03  3278-21-340 
   1.66736486816E+03   1.65800000000E+03  3278-27-12  
   1.65089880371E+03   1.65000000000E+03  3278-32-4   
   1.63619213867E+03   1.64800000000E+03  3278-36-350 
   1.62740087891E+03   1.65000000000E+03  3278-43-19  
   1.63038647461E+03   1.65600000000E+03  3278-49-54  
   1.63655346680E+03   1.65600000000E+03  3278-56-25  
   1.63748327637E+03   1.66000000000E+03  3278-60-319 
   1.64494738770E+03   1.67000000000E+03  3278-65-301 
   1.65578540039E+03   1.68400000000E+03  3278-71-13  
   1.65739306641E+03   1.68600000000E+03  3278-71-365 
   1.63336315918E+03   1.63800000000E+03  3290-56-25  
   1.63490454102E+03   1.64700000000E+03  3290-61-73  
   1.64249865723E+03   1.67100000000E+03  3290-66-19  
   1.74601562500E+03   1.73700000000E+03  3250-12-32  
   1.73061499023E+03   1.71100000000E+03  3250-16-363 
   1.70851159668E+03   1.68800000000E+03  3250-21-335 
   1.67490173340E+03   1.65200000000E+03  3250-32-7   
   1.65914587402E+03   1.63200000000E+03  3250-36-352 
   1.66533471680E+03   1.67200000000E+03  3308-56-25  
   1.66486755371E+03   1.67300000000E+03  3308-61-73  
   1.66990002441E+03   1.69800000000E+03  3308-66-20  
   1.72958862305E+03   1.70900000000E+03  3249-16-363 
   1.70714343262E+03   1.68800000000E+03  3249-21-340 
   1.65799462891E+03   1.66000000000E+03  3249-36-352 
   1.66426672363E+03   1.68800000000E+03  3249-56-25  
   1.66367626953E+03   1.69800000000E+03  3249-61-73  
   1.76065136719E+03   1.74400000000E+03  3233-3-355  
   1.76025952148E+03   1.74300000000E+03  3233-6-341  
   1.74987414551E+03   1.73700000000E+03  3233-12-59  
   1.73392565918E+03   1.72500000000E+03  3233-16-311 
   1.73490234375E+03   1.72200000000E+03  3230-16-348 
   1.71323510742E+03   1.70500000000E+03  3230-21-340 
   1.69619189453E+03   1.69400000000E+03  3230-27-1   
   1.67974536133E+03   1.70200000000E+03  3230-32-7   
   1.66353198242E+03   1.68200000000E+03  3230-36-352 
   1.67339892578E+03   1.71100000000E+03  3230-56-25  
   1.67243713379E+03   1.71600000000E+03  3230-61-72  
   1.73576794434E+03   1.72900000000E+03  3229-17-4   
   1.67136352539E+03   1.71100000000E+03  3247-61-73  
   1.67557214355E+03   1.71500000000E+03  3247-66-20  
   1.66404467773E+03   1.66800000000E+03  3368-56-25  
   1.75678393555E+03   1.74400000000E+03  3333-12-10  
   1.75166442871E+03   1.74100000000E+03  3333-16-343 
   1.71297204590E+03   1.69300000000E+03  3333-32-85  
   1.70450915527E+03   1.68500000000E+03  3333-35-53  
   1.67247033691E+03   1.67100000000E+03  3332-49-54  
   1.66673413086E+03   1.67400000000E+03  3332-56-26  
   1.66572705078E+03   1.67900000000E+03  3332-60-319 
   1.66563989258E+03   1.68700000000E+03  3332-65-298 
   1.66900512695E+03   1.69900000000E+03  3332-71-13  
   1.67007983398E+03   1.70100000000E+03  3332-71-365 
   1.66331848145E+03   1.65900000000E+03  3330-56-25  
   1.66141601562E+03   1.65900000000E+03  3315-48-300 
   1.65920800781E+03   1.66400000000E+03  3315-55-321 
   1.65920532227E+03   1.66600000000E+03  3315-60-312 
   1.66089575195E+03   1.67600000000E+03  3315-65-363 
   1.66857080078E+03   1.69100000000E+03  3315-71-351 
   1.66175000000E+03   1.65800000000E+03  3316-48-300 
   1.65893786621E+03   1.66300000000E+03  3316-55-321 
   1.65938305664E+03   1.66600000000E+03  3316-60-312 
   1.66032080078E+03   1.67700000000E+03  3316-65-363 
   1.66721984863E+03   1.69200000000E+03  3316-71-351 
   1.70795556641E+03   1.68900000000E+03  3284-56-25  
   1.74312548828E+03   1.70900000000E+03  3275-38-12  
   1.69296557617E+03   1.67600000000E+03  3287-38-24  
   1.67778894043E+03   1.67100000000E+03  3265-48-364 
   1.68360070801E+03   1.67600000000E+03  3265-56-25  
   1.68921923828E+03   1.68200000000E+03  3228-56-20  
   1.68862988281E+03   1.69700000000E+03  3228-61-73  
   1.69208422852E+03   1.72700000000E+03  3228-66-19  
   2.94525146484E+03   2.96800000000E+03  3347-20-74  
   2.95744262695E+03   2.96700000000E+03  3347-26-157 
   2.95744262695E+03   2.96300000000E+03  3347-37-33  
   2.96242993164E+03   2.96700000000E+03  3347-43-82  
   2.96589794922E+03   2.97100000000E+03  3347-48-336 
   2.96601147461E+03   2.96900000000E+03  3347-56-23  
   2.96315454102E+03   2.97100000000E+03  3347-61-62  
   2.96524218750E+03   2.96900000000E+03  3347-65-299 
   2.96219506836E+03   2.96600000000E+03  3347-71-12  
   2.96087695312E+03   2.96600000000E+03  3347-71-365 
   2.95978686523E+03   2.96500000000E+03  3378-15-337 
   2.97805053711E+03   2.97100000000E+03  3378-26-127 
   2.96554833984E+03   2.95400000000E+03  3378-33-312 
   2.98509033203E+03   2.97100000000E+03  3378-43-82  
   2.97585131836E+03   2.97600000000E+03  3378-48-337 
   2.97655444336E+03   2.97600000000E+03  3378-56-23  
   2.98331347656E+03   2.97600000000E+03  3378-61-62  
   2.97834472656E+03   2.97200000000E+03  3378-66-18  
   2.96341967773E+03   2.98100000000E+03  3336-71-63  
   2.94224145508E+03   2.96600000000E+03  3343-19-34  
   2.95074340820E+03   2.96600000000E+03  3343-26-121 
   2.95518066406E+03   2.95200000000E+03  3343-33-311 
   2.95833081055E+03   2.97500000000E+03  3343-43-82  
   2.96267089844E+03   2.97800000000E+03  3343-48-336 
   2.96202319336E+03   2.97700000000E+03  3343-56-25  
   2.95878125000E+03   2.97500000000E+03  3343-61-62  
   2.95933129883E+03   2.97100000000E+03  3343-66-24  
   2.95557836914E+03   2.96300000000E+03  3343-71-63  
   2.93499462891E+03   2.96800000000E+03  3322-20-300 
   2.94232739258E+03   2.96700000000E+03  3322-26-127 
   2.95257958984E+03   2.97300000000E+03  3322-48-337 
   2.95107275391E+03   2.96300000000E+03  3322-56-25  
   2.94678491211E+03   2.96400000000E+03  3322-61-60  
   2.94766528320E+03   2.95900000000E+03  3317-43-85  
   2.94926855469E+03   2.96400000000E+03  3317-56-25  
   2.94493627930E+03   2.96100000000E+03  3317-61-60  
   2.94599145508E+03   2.95900000000E+03  3317-66-27  
   2.94418603516E+03   2.96200000000E+03  3317-71-64  
   2.96462377930E+03   2.99500000000E+03  3300-56-26  
   2.94330566406E+03   3.00900000000E+03  3289-56-26  
   2.92421069336E+03   2.99800000000E+03  3289-61-65  
   2.93713891602E+03   3.01800000000E+03  3276-56-26  
   2.97452490234E+03   2.96400000000E+03  3270-56-26  
   2.90236181641E+03   2.95500000000E+03  3272-15-154 
   2.91581030273E+03   2.95700000000E+03  3272-26-125 
   2.92164648438E+03   2.94700000000E+03  3272-37-36  
   2.92531616211E+03   2.96200000000E+03  3272-43-27  
   2.92900415039E+03   2.97000000000E+03  3272-48-336 
   2.92538647461E+03   2.96600000000E+03  3272-56-26  
   2.91907397461E+03   2.96200000000E+03  3272-61-60  
   2.92031689453E+03   2.94700000000E+03  3272-71-12  
   2.90948876953E+03   2.95600000000E+03  3266-56-26  
   2.99171166992E+03   3.02700000000E+03  3260-33-313 
   3.00054101562E+03   3.05000000000E+03  3260-48-334 
   2.99643408203E+03   3.04400000000E+03  3260-56-26  
   1.66409497070E+03   1.71400000000E+03  3222-38-6   
   1.74638781738E+03   1.72500000000E+03  3213-12-324 
   1.73434875488E+03   1.71600000000E+03  3213-16-335 
   1.70919128418E+03   1.69900000000E+03  3213-21-335 
   1.67547009277E+03   1.68000000000E+03  3213-32-7   
   1.65860180664E+03   1.66000000000E+03  3213-38-10  
   1.66992321777E+03   1.68900000000E+03  3213-56-19  
   1.75404455566E+03   1.73000000000E+03  3205-2-230  
   1.70327453613E+03   1.68300000000E+03  3205-22-37  
   1.75866772461E+03   1.74500000000E+03  3191-2-188  
   1.73741625977E+03   1.71300000000E+03  3178-17-4   
   1.71082763672E+03   1.68800000000E+03  3178-22-37  
   1.67650927734E+03   1.64900000000E+03  3178-32-85  
   1.66507055664E+03   1.61000000000E+03  3178-36-65  
   1.65873645020E+03   1.62300000000E+03  3178-42-349 
   1.66482385254E+03   1.64300000000E+03  3178-48-341 
   1.67202966309E+03   1.65500000000E+03  3178-56-23  
   1.67208935547E+03   1.67100000000E+03  3178-60-319 
   1.74005297852E+03   1.71300000000E+03  3177-17-4   
   1.75663305664E+03   1.74300000000E+03  3176-11-297 
   1.74106445312E+03   1.71800000000E+03  3176-16-342 
   1.71583312988E+03   1.69100000000E+03  3176-21-342 
   1.67974938965E+03   1.63300000000E+03  3176-32-7   
   1.67045654297E+03   1.62800000000E+03  3176-34-339 
   1.71962451172E+03   1.69500000000E+03  3174-21-335 
   1.68325695801E+03   1.68000000000E+03  3174-56-19  
   1.68194543457E+03   1.69000000000E+03  3174-61-60  
   1.68695959473E+03   1.72300000000E+03  3174-66-24  
   1.77645214844E+03   1.75500000000E+03  3188-2-335  
   1.77578210449E+03   1.75400000000E+03  3188-6-341  
   1.76384167480E+03   1.75000000000E+03  3188-10-350 
   1.66983850098E+03   1.63600000000E+03  3199-38-6   
   1.67948645020E+03   1.67400000000E+03  3199-48-337 
   1.68917419434E+03   1.70500000000E+03  3199-61-60  
   1.67877612305E+03   1.66400000000E+03  3175-48-337 
   1.68915795898E+03   1.68600000000E+03  3175-56-19  
   1.69200488281E+03   1.72900000000E+03  3175-66-24  
   1.69166333008E+03   1.68800000000E+03  3196-56-19  
   1.72727819824E+03   1.71600000000E+03  3171-21-335 
   1.70794982910E+03   1.67200000000E+03  3171-26-313 
   1.68223913574E+03   1.69800000000E+03  3171-48-337 
   1.68187951660E+03   1.67200000000E+03  3173-48-337 
   1.69356945801E+03   1.69200000000E+03  3173-56-19  
   1.69170227051E+03   1.70100000000E+03  3173-61-60  
   1.69553808594E+03   1.73000000000E+03  3173-66-20  
   1.68699914551E+03   1.68200000000E+03  3172-56-19  
   1.68559875488E+03   1.69100000000E+03  3172-61-60  
   1.69037561035E+03   1.72300000000E+03  3172-66-24  
   1.76531262207E+03   1.74800000000E+03  3163-12-91  
   1.72553662109E+03   1.70100000000E+03  3163-21-335 
   1.66313159180E+03   1.68400000000E+03  3197-42-351 
   1.66933007812E+03   1.70000000000E+03  3197-48-348 
   1.67840734863E+03   1.69900000000E+03  3197-56-4   
   1.67736230469E+03   1.71900000000E+03  3197-61-5   
   1.68273645020E+03   1.74500000000E+03  3197-65-361 
   1.69903894043E+03   1.74800000000E+03  3197-71-355 
   1.74508972168E+03   1.73200000000E+03  3170-16-348 
   1.72126245117E+03   1.70300000000E+03  3170-21-342 
   1.66909704590E+03   1.68100000000E+03  3170-38-6   
   1.66892248535E+03   1.73700000000E+03  3170-42-351 
   1.67640820312E+03   1.69400000000E+03  3170-48-348 
   1.68601159668E+03   1.70300000000E+03  3170-55-354 
   1.68445764160E+03   1.72500000000E+03  3170-61-5   
   1.68962158203E+03   1.75100000000E+03  3170-65-361 
   1.70663110352E+03   1.75400000000E+03  3170-71-355 
   1.72387329102E+03   1.69800000000E+03  3139-21-343 
   1.70967053223E+03   1.74700000000E+03  3139-71-355 
   1.74819018555E+03   1.73200000000E+03  3143-17-5   
   1.72381384277E+03   1.70800000000E+03  3143-22-37  
   1.70655065918E+03   1.69500000000E+03  3143-27-31  
   1.69078576660E+03   1.69400000000E+03  3143-55-354 
   1.68936389160E+03   1.72000000000E+03  3143-61-5   
   1.69515380859E+03   1.75700000000E+03  3143-65-361 
   1.71305285645E+03   1.76000000000E+03  3143-71-355 
   1.76870434570E+03   1.74800000000E+03  3166-1-1    
   1.75841491699E+03   1.73800000000E+03  3166-11-335 
   1.71793762207E+03   1.68000000000E+03  3166-21-335 
   1.75673999023E+03   1.73000000000E+03  3100-16-338 
   1.73258666992E+03   1.70300000000E+03  3100-21-335 
   1.66910974121E+03   1.62500000000E+03  3100-43-60  
   1.68513671875E+03   1.65200000000E+03  3100-55-354 
   1.68595654297E+03   1.65900000000E+03  3100-61-5   
   1.69064831543E+03   1.69200000000E+03  3100-66-20  
   1.70569287109E+03   1.70900000000E+03  3100-71-355 
   1.67103588867E+03   1.63500000000E+03  2939-42-351 
   1.68690734863E+03   1.66900000000E+03  2939-61-5   
   1.70496032715E+03   1.72500000000E+03  2939-70-352 
   1.70718176270E+03   1.72700000000E+03  2939-71-355 
   1.73212023926E+03   1.69700000000E+03  3099-21-335 
   1.68614611816E+03   1.66500000000E+03  3099-61-5   
   1.69099621582E+03   1.69800000000E+03  3099-66-20  
   1.70643664551E+03   1.72300000000E+03  3099-71-355 
   1.78331030273E+03   1.77300000000E+03  3113-1-59   
   1.78304406738E+03   1.76800000000E+03  3113-6-341  
   1.76511035156E+03   1.75200000000E+03  3113-12-362 
   1.72733044434E+03   1.70300000000E+03  3113-22-37  
   1.70869079590E+03   1.69700000000E+03  3113-27-31  
   1.67569140625E+03   1.65300000000E+03  3113-37-341 
   1.67446911621E+03   1.68400000000E+03  3113-42-349 
   1.68479748535E+03   1.66400000000E+03  3113-48-341 
   1.69328710938E+03   1.69400000000E+03  3113-55-354 
   1.69189916992E+03   1.71600000000E+03  3113-60-319 
   1.69841894531E+03   1.74400000000E+03  3113-65-298 
   1.71755590820E+03   1.75700000000E+03  3113-71-355 
   1.77287133789E+03   1.74400000000E+03  3097-12-170 
   1.75593933105E+03   1.72300000000E+03  3097-17-5   
   1.67656811523E+03   1.66400000000E+03  3097-42-351 
   1.68740576172E+03   1.67900000000E+03  3097-48-348 
   1.69559204102E+03   1.69600000000E+03  3097-55-354 
   1.69503466797E+03   1.71800000000E+03  3097-61-5   
   1.70220178223E+03   1.75000000000E+03  3097-65-361 
   1.72183984375E+03   1.76000000000E+03  3097-71-355 
   1.67626672363E+03   1.66600000000E+03  3095-42-351 
   1.68697729492E+03   1.68200000000E+03  3095-48-348 
   1.69517980957E+03   1.69800000000E+03  3095-55-354 
   1.69457580566E+03   1.72000000000E+03  3095-61-5   
   1.70160290527E+03   1.75200000000E+03  3095-65-361 
   1.72107177734E+03   1.76100000000E+03  3095-71-355 
   1.78627136230E+03   1.77300000000E+03  3096-8-283  
   1.75851147461E+03   1.73600000000E+03  3096-17-5   
   1.73272668457E+03   1.70800000000E+03  3096-21-335 
   1.78580310059E+03   1.77500000000E+03  3135-8-282  
   1.77576867676E+03   1.76600000000E+03  3135-11-355 
   1.75697204590E+03   1.73900000000E+03  3135-16-349 
   1.73216235352E+03   1.70800000000E+03  3135-21-312 
   1.71345471191E+03   1.68000000000E+03  3135-26-292 
   1.67828100586E+03   1.64100000000E+03  3135-38-5   
   1.69105505371E+03   1.67800000000E+03  3135-48-337 
   1.70170983887E+03   1.70000000000E+03  3135-56-19  
   1.70018579102E+03   1.71700000000E+03  3135-61-60  
   1.70058117676E+03   1.71300000000E+03  3121-55-354 
   1.69847509766E+03   1.72400000000E+03  3121-61-5   
   1.70587524414E+03   1.76000000000E+03  3121-66-20  
   1.72816442871E+03   1.77200000000E+03  3121-71-365 
   1.79655090332E+03   1.77900000000E+03  3059-10-57  
   1.77042529297E+03   1.74400000000E+03  3059-17-5   
   1.72436975098E+03   1.69300000000E+03  3059-27-31  
   1.69140710449E+03   1.71700000000E+03  3059-37-33  
   1.68982312012E+03   1.68100000000E+03  3059-42-349 
   1.70280969238E+03   1.70000000000E+03  3059-48-342 
   1.71169763184E+03   1.72000000000E+03  3059-56-20  
   1.71093493652E+03   1.74200000000E+03  3059-60-319 
   1.72386328125E+03   1.77700000000E+03  3059-65-301 
   1.75145385742E+03   1.78700000000E+03  3059-71-365 
   1.73707043457E+03   1.70900000000E+03  3078-21-335 
   1.78081250000E+03   1.76200000000E+03  3080-11-297 
   1.70298571777E+03   1.71600000000E+03  3075-56-20  
   1.78690698242E+03   1.77400000000E+03  3089-2-339  
   1.78644311523E+03   1.77200000000E+03  3089-6-341  
   1.77161511230E+03   1.76300000000E+03  3089-12-362 
   1.75714709473E+03   1.74500000000E+03  3089-16-313 
   1.67548120117E+03   1.69300000000E+03  3089-42-351 
   1.69927136230E+03   1.74300000000E+03  3089-65-361 
   1.71763293457E+03   1.75500000000E+03  3089-71-355 
   1.78643872070E+03   1.76700000000E+03  3053-11-297 
   1.76506066895E+03   1.74100000000E+03  3053-16-349 
   1.73960253906E+03   1.71000000000E+03  3053-22-37  
   1.69497802734E+03   1.66800000000E+03  3053-32-85  
   1.67874914551E+03   1.66000000000E+03  3053-42-351 
   1.68946826172E+03   1.67600000000E+03  3053-48-348 
   1.69778051758E+03   1.68900000000E+03  3053-55-353 
   1.69865380859E+03   1.70600000000E+03  3053-61-5   
   1.70487597656E+03   1.73500000000E+03  3053-65-361 
   1.72363781738E+03   1.75200000000E+03  3053-71-355 
   1.69789501953E+03   1.68900000000E+03  3050-55-353 
   1.69878210449E+03   1.70600000000E+03  3050-61-5   
   1.70501745605E+03   1.73500000000E+03  3050-65-361 
   1.72377099609E+03   1.75200000000E+03  3050-71-355 
   1.68119567871E+03   1.61800000000E+03  3076-37-33  
   1.67840002441E+03   1.65600000000E+03  3076-42-349 
   1.68823083496E+03   1.67600000000E+03  3076-48-342 
   1.69720690918E+03   1.69500000000E+03  3076-56-23  
   1.69786938477E+03   1.70100000000E+03  3076-61-60  
   1.70491772461E+03   1.74200000000E+03  3076-66-24  
   1.68856103516E+03   1.65900000000E+03  3077-55-354 
   1.68884570312E+03   1.66500000000E+03  3077-61-5   
   1.69383020020E+03   1.69000000000E+03  3077-66-20  
   1.70896875000E+03   1.71800000000E+03  3077-71-355 
   1.68046801758E+03   1.66300000000E+03  3065-48-348 
   1.79952636719E+03   1.78400000000E+03  3021-1-107  
   1.79828430176E+03   1.78200000000E+03  3021-7-3    
   1.79835888672E+03   1.78100000000E+03  3020-7-3    
   1.79181787109E+03   1.77500000000E+03  3020-12-59  
   1.77242224121E+03   1.75500000000E+03  3020-16-314 
   1.74611694336E+03   1.73100000000E+03  3020-22-37  
   1.72270886230E+03   1.69700000000E+03  3020-27-31  
   1.79752062988E+03   1.78000000000E+03  2989-12-59  
   1.77739758301E+03   1.74800000000E+03  2995-16-313 
   1.74888244629E+03   1.73400000000E+03  2995-22-37  
   1.72794726562E+03   1.71900000000E+03  2995-27-31  
   1.70568884277E+03   1.72300000000E+03  2995-32-85  
   1.70566015625E+03   1.67600000000E+03  3201-48-300 
   1.71299548340E+03   1.68500000000E+03  3201-55-321 
   1.71338537598E+03   1.69200000000E+03  3201-60-312 
   1.72229760742E+03   1.70600000000E+03  3201-65-363 
   1.74264062500E+03   1.72600000000E+03  3201-71-10  
   1.70096313477E+03   1.67800000000E+03  3202-48-300 
   1.70868066406E+03   1.68700000000E+03  3202-55-321 
   1.70970739746E+03   1.69600000000E+03  3202-60-312 
   1.71627612305E+03   1.72000000000E+03  3202-65-363 
   1.73592639160E+03   1.74500000000E+03  3202-71-10  
   1.78469323730E+03   1.76300000000E+03  3200-21-335 
   1.75327844238E+03   1.72800000000E+03  3200-32-6   
   1.74001269531E+03   1.71200000000E+03  3200-36-351 
   1.73133532715E+03   1.69500000000E+03  3200-49-54  
   1.73534826660E+03   1.69900000000E+03  3200-56-24  
   1.73706420898E+03   1.70600000000E+03  3200-60-319 
   1.74623327637E+03   1.71800000000E+03  3200-65-298 
   1.77154223633E+03   1.73600000000E+03  3200-71-365 
   1.80029553223E+03   1.79100000000E+03  3154-1-337  
   1.79714758301E+03   1.78200000000E+03  3154-6-286  
   1.78797631836E+03   1.77800000000E+03  3154-11-298 
   1.76499609375E+03   1.74200000000E+03  3154-16-358 
   1.74229870605E+03   1.71200000000E+03  3154-21-343 
   1.70654394531E+03   1.66000000000E+03  3154-32-85  
   1.69636621094E+03   1.64900000000E+03  3154-37-33  
   1.69594628906E+03   1.65100000000E+03  3154-42-349 
   1.70490991211E+03   1.68100000000E+03  3150-48-337 
   1.71791467285E+03   1.70400000000E+03  3150-56-23  
   1.71631164551E+03   1.72000000000E+03  3150-60-319 
   1.72756433105E+03   1.75200000000E+03  3150-65-298 
   1.75568798828E+03   1.77500000000E+03  3150-71-11  
   1.75854479980E+03   1.77600000000E+03  3150-71-365 
   1.78600598145E+03   1.76600000000E+03  3158-12-85  
   1.76647375488E+03   1.74000000000E+03  3158-16-342 
