"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.68786889648E+03   1.62400000000E+03  3303-66-18  
   1.71010192871E+03   1.68000000000E+03  3302-12-32  
   1.68421386719E+03   1.60600000000E+03  3302-56-26  
   1.69932482910E+03   1.63300000000E+03  3302-66-18  
   1.68901831055E+03   1.68000000000E+03  3320-2-305  
   1.59069433594E+03   1.55000000000E+03  3324-26-339 
   1.63758947754E+03   1.60400000000E+03  3312-16-335 
   1.61440808105E+03   1.57600000000E+03  3312-21-335 
   1.58441320801E+03   1.53700000000E+03  3312-32-1   
   1.57498791504E+03   1.52300000000E+03  3312-36-51  
   1.70352160645E+03   1.69200000000E+03  3294-1-60   
   1.67602587891E+03   1.65000000000E+03  3291-16-362 
   1.67790441895E+03   1.67100000000E+03  3288-12-32  
   1.64203369141E+03   1.62200000000E+03  3288-21-335 
   1.61712402344E+03   1.60200000000E+03  3288-32-7   
   1.67273461914E+03   1.62800000000E+03  3282-21-336 
   1.65474047852E+03   1.60400000000E+03  3282-32-7   
   1.65039624023E+03   1.58400000000E+03  3282-38-10  
   1.72814221191E+03   1.69900000000E+03  3285-5-179  
   1.72397302246E+03   1.69000000000E+03  3285-11-25  
   1.71527258301E+03   1.66600000000E+03  3285-16-341 
   1.70232983398E+03   1.63900000000E+03  3285-21-336 
   1.72387829590E+03   1.67900000000E+03  3279-12-39  
   1.71758117676E+03   1.65000000000E+03  3279-16-362 
   1.70481933594E+03   1.63900000000E+03  3279-21-341 
   1.69944360352E+03   1.62400000000E+03  3279-27-28  
   1.70399426270E+03   1.63500000000E+03  3281-21-336 
   1.68953576660E+03   1.57300000000E+03  3281-37-350 
   1.72349707031E+03   1.65200000000E+03  3268-21-274 
   1.71389038086E+03   1.57600000000E+03  3268-38-6   
   1.74227954102E+03   1.68400000000E+03  3259-16-348 
   1.72472131348E+03   1.61900000000E+03  3259-32-7   
   1.72444030762E+03   1.60600000000E+03  3259-36-350 
   1.75746972656E+03   1.72300000000E+03  3237-1-365  
   1.75691723633E+03   1.72100000000E+03  3237-3-355  
   1.75483300781E+03   1.71300000000E+03  3237-12-59  
   1.75787365723E+03   1.71900000000E+03  3234-6-284  
   1.75509301758E+03   1.71000000000E+03  3234-12-32  
   1.75350891113E+03   1.68900000000E+03  3234-16-348 
   1.74302392578E+03   1.66100000000E+03  3231-21-341 
   1.74110583496E+03   1.64200000000E+03  3231-27-12  
   1.73740759277E+03   1.59500000000E+03  3231-38-3   
   1.67940002441E+03   1.60400000000E+03  3382-48-363 
   1.67940002441E+03   1.61900000000E+03  3383-48-363 
   1.69861645508E+03   1.63200000000E+03  3363-56-23  
   1.70985119629E+03   1.64600000000E+03  3363-66-18  
   1.72241564941E+03   1.69400000000E+03  3364-11-342 
   1.71417236328E+03   1.67100000000E+03  3364-16-362 
   1.70500927734E+03   1.64600000000E+03  3364-21-341 
   1.69561657715E+03   1.63900000000E+03  3364-27-28  
   1.68938916016E+03   1.62100000000E+03  3364-32-4   
   1.68422729492E+03   1.61700000000E+03  3364-36-349 
   1.68250122070E+03   1.61600000000E+03  3364-43-19  
   1.68686352539E+03   1.62200000000E+03  3364-49-54  
   1.69201684570E+03   1.62600000000E+03  3364-56-25  
   1.69610070801E+03   1.62800000000E+03  3364-60-319 
   1.70317846680E+03   1.63500000000E+03  3364-65-298 
   1.71320104980E+03   1.64800000000E+03  3364-71-13  
   1.71478332520E+03   1.65200000000E+03  3364-71-365 
   1.68391882324E+03   1.62300000000E+03  3370-56-25  
   1.68876281738E+03   1.62800000000E+03  3370-61-72  
   1.69598437500E+03   1.63700000000E+03  3370-66-18  
   1.70665002441E+03   1.65900000000E+03  3353-21-335 
   1.69770825195E+03   1.64600000000E+03  3353-27-12  
   1.69596520996E+03   1.62700000000E+03  3353-56-25  
   1.70757629395E+03   1.63500000000E+03  3353-66-18  
   1.69813537598E+03   1.62800000000E+03  3351-56-25  
   1.70257507324E+03   1.62900000000E+03  3351-61-72  
   1.70958032227E+03   1.63900000000E+03  3351-66-18  
   1.74584899902E+03   1.64300000000E+03  3310-56-23  
   1.75400207520E+03   1.64400000000E+03  3307-56-23  
   1.75756848145E+03   1.64900000000E+03  3307-61-73  
   1.76331506348E+03   1.67600000000E+03  3307-66-20  
   1.72567028809E+03   1.63000000000E+03  3292-56-25  
   1.72948071289E+03   1.63800000000E+03  3292-61-73  
   1.73749133301E+03   1.66300000000E+03  3292-66-19  
   1.74702990723E+03   1.70600000000E+03  3278-11-296 
   1.74271813965E+03   1.69300000000E+03  3278-16-343 
   1.73442626953E+03   1.66400000000E+03  3278-21-340 
   1.73078625488E+03   1.65800000000E+03  3278-27-12  
   1.72645825195E+03   1.65000000000E+03  3278-32-4   
   1.72530297852E+03   1.64800000000E+03  3278-36-350 
   1.72916931152E+03   1.65000000000E+03  3278-43-19  
   1.73626965332E+03   1.65600000000E+03  3278-49-54  
   1.74395532227E+03   1.65600000000E+03  3278-56-25  
   1.74627099609E+03   1.66000000000E+03  3278-60-319 
   1.75345190430E+03   1.67000000000E+03  3278-65-301 
   1.76450622559E+03   1.68400000000E+03  3278-71-13  
   1.76604919434E+03   1.68600000000E+03  3278-71-365 
   1.73994470215E+03   1.63800000000E+03  3290-56-25  
   1.74303845215E+03   1.64700000000E+03  3290-61-73  
   1.75021276855E+03   1.67100000000E+03  3290-66-19  
   1.78055786133E+03   1.73700000000E+03  3250-12-32  
   1.78046166992E+03   1.71100000000E+03  3250-16-363 
   1.77711047363E+03   1.68800000000E+03  3250-21-335 
   1.77623657227E+03   1.65200000000E+03  3250-32-7   
   1.77775183105E+03   1.63200000000E+03  3250-36-352 
   1.79869323730E+03   1.67200000000E+03  3308-56-25  
   1.80071813965E+03   1.67300000000E+03  3308-61-73  
   1.80709497070E+03   1.69800000000E+03  3308-66-20  
   1.77804248047E+03   1.70900000000E+03  3249-16-363 
   1.77428991699E+03   1.68800000000E+03  3249-21-340 
   1.77431579590E+03   1.66000000000E+03  3249-36-352 
   1.79613439941E+03   1.68800000000E+03  3249-56-25  
   1.79802990723E+03   1.69800000000E+03  3249-61-73  
   1.78587475586E+03   1.74400000000E+03  3233-3-355  
   1.78679235840E+03   1.74300000000E+03  3233-6-341  
   1.78628686523E+03   1.73700000000E+03  3233-12-59  
   1.78671691895E+03   1.72500000000E+03  3233-16-311 
   1.79027697754E+03   1.72200000000E+03  3230-16-348 
   1.78836669922E+03   1.70500000000E+03  3230-21-340 
   1.79051281738E+03   1.69400000000E+03  3230-27-1   
   1.78936535645E+03   1.70200000000E+03  3230-32-7   
   1.79153027344E+03   1.68200000000E+03  3230-36-352 
   1.81450891113E+03   1.71100000000E+03  3230-56-25  
   1.81625964355E+03   1.71600000000E+03  3230-61-72  
   1.79180822754E+03   1.72900000000E+03  3229-17-4   
   1.81425500488E+03   1.71100000000E+03  3247-61-73  
   1.82055590820E+03   1.71500000000E+03  3247-66-20  
   1.77862097168E+03   1.66800000000E+03  3368-56-25  
   1.78398327637E+03   1.74400000000E+03  3333-12-10  
   1.78316882324E+03   1.74100000000E+03  3333-16-343 
   1.77692749023E+03   1.69300000000E+03  3333-32-85  
   1.77617614746E+03   1.68500000000E+03  3333-35-53  
   1.78070324707E+03   1.67100000000E+03  3332-49-54  
   1.78602441406E+03   1.67400000000E+03  3332-56-26  
   1.79017968750E+03   1.67900000000E+03  3332-60-319 
   1.79453344727E+03   1.68700000000E+03  3332-65-298 
   1.80167614746E+03   1.69900000000E+03  3332-71-13  
   1.80340026855E+03   1.70100000000E+03  3332-71-365 
   1.78285473633E+03   1.65900000000E+03  3330-56-25  
   1.77492541504E+03   1.65900000000E+03  3315-48-300 
   1.78081665039E+03   1.66400000000E+03  3315-55-321 
   1.78477685547E+03   1.66600000000E+03  3315-60-312 
   1.79002929688E+03   1.67600000000E+03  3315-65-363 
   1.80063745117E+03   1.69100000000E+03  3315-71-351 
   1.77610607910E+03   1.65800000000E+03  3316-48-300 
   1.78185595703E+03   1.66300000000E+03  3316-55-321 
   1.78610607910E+03   1.66600000000E+03  3316-60-312 
   1.79091296387E+03   1.67700000000E+03  3316-65-363 
   1.80121789551E+03   1.69200000000E+03  3316-71-351 
   1.84151977539E+03   1.68900000000E+03  3284-56-25  
   1.83560412598E+03   1.70900000000E+03  3275-38-12  
   1.79529614258E+03   1.67600000000E+03  3287-38-24  
   1.82374865723E+03   1.67100000000E+03  3265-48-364 
   1.83203771973E+03   1.67600000000E+03  3265-56-25  
   1.84709533691E+03   1.68200000000E+03  3228-56-20  
   1.84934643555E+03   1.69700000000E+03  3228-61-73  
   1.85696557617E+03   1.72700000000E+03  3228-66-19  
   2.94557446289E+03   2.96800000000E+03  3347-20-74  
   2.95884985352E+03   2.96700000000E+03  3347-26-157 
   2.95884985352E+03   2.96300000000E+03  3347-37-33  
   2.96455444336E+03   2.96700000000E+03  3347-43-82  
   2.96900122070E+03   2.97100000000E+03  3347-48-336 
   2.97143261719E+03   2.96900000000E+03  3347-56-23  
   2.97136108398E+03   2.97100000000E+03  3347-61-62  
   2.97683349609E+03   2.96900000000E+03  3347-65-299 
   2.97847094727E+03   2.96600000000E+03  3347-71-12  
   2.97835498047E+03   2.96600000000E+03  3347-71-365 
   2.95981445312E+03   2.96500000000E+03  3378-15-337 
   2.97806103516E+03   2.97100000000E+03  3378-26-127 
   2.96613940430E+03   2.95400000000E+03  3378-33-312 
   2.98561743164E+03   2.97100000000E+03  3378-43-82  
   2.97740502930E+03   2.97600000000E+03  3378-48-337 
   2.97949780273E+03   2.97600000000E+03  3378-56-23  
   2.98635449219E+03   2.97600000000E+03  3378-61-62  
   2.98705517578E+03   2.97200000000E+03  3378-66-18  
   2.99211694336E+03   2.98100000000E+03  3336-71-63  
   2.94265625000E+03   2.96600000000E+03  3343-19-34  
   2.95156152344E+03   2.96600000000E+03  3343-26-121 
   2.95655444336E+03   2.95200000000E+03  3343-33-311 
   2.96072875977E+03   2.97500000000E+03  3343-43-82  
   2.96616894531E+03   2.97800000000E+03  3343-48-336 
   2.96872900391E+03   2.97700000000E+03  3343-56-25  
   2.96925610352E+03   2.97500000000E+03  3343-61-62  
   2.97371679688E+03   2.97100000000E+03  3343-66-24  
   2.97603857422E+03   2.96300000000E+03  3343-71-63  
   2.93580297852E+03   2.96800000000E+03  3322-20-300 
   2.94438720703E+03   2.96700000000E+03  3322-26-127 
   2.95891162109E+03   2.97300000000E+03  3322-48-337 
   2.96124511719E+03   2.96300000000E+03  3322-56-25  
   2.96117407227E+03   2.96400000000E+03  3322-61-60  
   2.95240161133E+03   2.95900000000E+03  3317-43-85  
   2.95981225586E+03   2.96400000000E+03  3317-56-25  
   2.95969531250E+03   2.96100000000E+03  3317-61-60  
   2.96488647461E+03   2.95900000000E+03  3317-66-27  
   2.96676147461E+03   2.96200000000E+03  3317-71-64  
   2.98477319336E+03   2.99500000000E+03  3300-56-26  
   2.96505322266E+03   3.00900000000E+03  3289-56-26  
   2.96443945312E+03   2.99800000000E+03  3289-61-65  
   2.96551782227E+03   3.01800000000E+03  3276-56-26  
   2.98606738281E+03   2.96400000000E+03  3270-56-26  
   2.90388549805E+03   2.95500000000E+03  3272-15-154 
   2.91773046875E+03   2.95700000000E+03  3272-26-125 
   2.92444677734E+03   2.94700000000E+03  3272-37-36  
   2.92911840820E+03   2.96200000000E+03  3272-43-27  
   2.93528833008E+03   2.97000000000E+03  3272-48-336 
   2.93735253906E+03   2.96600000000E+03  3272-56-26  
   2.93678369141E+03   2.96200000000E+03  3272-61-60  
   2.94208618164E+03   2.94700000000E+03  3272-71-12  
   2.92178320312E+03   2.95600000000E+03  3266-56-26  
   2.99316845703E+03   3.02700000000E+03  3260-33-313 
   3.00481274414E+03   3.05000000000E+03  3260-48-334 
   3.00806054688E+03   3.04400000000E+03  3260-56-26  
   1.80183276367E+03   1.71400000000E+03  3222-38-6   
   1.78267846680E+03   1.72500000000E+03  3213-12-324 
   1.78402319336E+03   1.71600000000E+03  3213-16-335 
   1.78019934082E+03   1.69900000000E+03  3213-21-335 
   1.78003491211E+03   1.68000000000E+03  3213-32-7   
   1.78308789062E+03   1.66000000000E+03  3213-38-10  
   1.80507128906E+03   1.68900000000E+03  3213-56-19  
   1.77669714355E+03   1.73000000000E+03  3205-2-230  
   1.77181945801E+03   1.68300000000E+03  3205-22-37  
   1.78171044922E+03   1.74500000000E+03  3191-2-188  
   1.78789453125E+03   1.71300000000E+03  3178-17-4   
   1.78426123047E+03   1.68800000000E+03  3178-22-37  
   1.78538781738E+03   1.64900000000E+03  3178-32-85  
   1.78690368652E+03   1.61000000000E+03  3178-36-65  
   1.79460803223E+03   1.62300000000E+03  3178-42-349 
   1.80224060059E+03   1.64300000000E+03  3178-48-341 
   1.81029064941E+03   1.65500000000E+03  3178-56-23  
   1.81208691406E+03   1.67100000000E+03  3178-60-319 
   1.79290698242E+03   1.71300000000E+03  3177-17-4   
   1.79245947266E+03   1.74300000000E+03  3176-11-297 
   1.79501831055E+03   1.71800000000E+03  3176-16-342 
   1.79219458008E+03   1.69100000000E+03  3176-21-342 
   1.79366430664E+03   1.63300000000E+03  3176-32-7   
   1.79482629395E+03   1.62800000000E+03  3176-34-339 
   1.80221997070E+03   1.69500000000E+03  3174-21-335 
   1.83352648926E+03   1.68000000000E+03  3174-56-19  
   1.83514038086E+03   1.69000000000E+03  3174-61-60  
   1.84179956055E+03   1.72300000000E+03  3174-66-24  
   1.80571997070E+03   1.75500000000E+03  3188-2-335  
   1.80690454102E+03   1.75400000000E+03  3188-6-341  
   1.80706567383E+03   1.75000000000E+03  3188-10-350 
   1.82580822754E+03   1.63600000000E+03  3199-38-6   
   1.84147558594E+03   1.67400000000E+03  3199-48-337 
   1.85235327148E+03   1.70500000000E+03  3199-61-60  
   1.83846740723E+03   1.66400000000E+03  3175-48-337 
   1.84761657715E+03   1.68600000000E+03  3175-56-19  
   1.85674621582E+03   1.72900000000E+03  3175-66-24  
   1.85358105469E+03   1.68800000000E+03  3196-56-19  
   1.82165173340E+03   1.71600000000E+03  3171-21-335 
   1.82516613770E+03   1.67200000000E+03  3171-26-313 
   1.84941601562E+03   1.69800000000E+03  3171-48-337 
   1.84882397461E+03   1.67200000000E+03  3173-48-337 
   1.85833618164E+03   1.69200000000E+03  3173-56-19  
   1.85969189453E+03   1.70100000000E+03  3173-61-60  
   1.86843103027E+03   1.73000000000E+03  3173-66-20  
   1.84149731445E+03   1.68200000000E+03  3172-56-19  
   1.84295092773E+03   1.69100000000E+03  3172-61-60  
   1.85018103027E+03   1.72300000000E+03  3172-66-24  
   1.81283471680E+03   1.74800000000E+03  3163-12-91  
   1.81708569336E+03   1.70100000000E+03  3163-21-335 
   1.80753063965E+03   1.68400000000E+03  3197-42-351 
   1.81560522461E+03   1.70000000000E+03  3197-48-348 
   1.82413940430E+03   1.69900000000E+03  3197-56-4   
   1.82570483398E+03   1.71900000000E+03  3197-61-5   
   1.83268395996E+03   1.74500000000E+03  3197-65-361 
   1.84903881836E+03   1.74800000000E+03  3197-71-355 
   1.80654760742E+03   1.73200000000E+03  3170-16-348 
   1.80573950195E+03   1.70300000000E+03  3170-21-342 
   1.81418188477E+03   1.68100000000E+03  3170-38-6   
   1.82129235840E+03   1.73700000000E+03  3170-42-351 
   1.82938818359E+03   1.69400000000E+03  3170-48-348 
   1.83806555176E+03   1.70300000000E+03  3170-55-354 
   1.83930407715E+03   1.72500000000E+03  3170-61-5   
   1.84622595215E+03   1.75100000000E+03  3170-65-361 
   1.86331018066E+03   1.75400000000E+03  3170-71-355 
   1.80833361816E+03   1.69800000000E+03  3139-21-343 
   1.86637988281E+03   1.74700000000E+03  3139-71-355 
   1.81234118652E+03   1.73200000000E+03  3143-17-5   
   1.81208520508E+03   1.70800000000E+03  3143-22-37  
   1.81605627441E+03   1.69500000000E+03  3143-27-31  
   1.84630468750E+03   1.69400000000E+03  3143-55-354 
   1.84749572754E+03   1.72000000000E+03  3143-61-5   
   1.85464038086E+03   1.75700000000E+03  3143-65-361 
   1.87237011719E+03   1.76000000000E+03  3143-71-355 
   1.79122131348E+03   1.74800000000E+03  3166-1-1    
   1.79175878906E+03   1.73800000000E+03  3166-11-335 
   1.79015881348E+03   1.68000000000E+03  3166-21-335 
   1.80602246094E+03   1.73000000000E+03  3100-16-338 
   1.80632775879E+03   1.70300000000E+03  3100-21-335 
   1.82089794922E+03   1.62500000000E+03  3100-43-60  
   1.83723779297E+03   1.65200000000E+03  3100-55-354 
   1.84081262207E+03   1.65900000000E+03  3100-61-5   
   1.84579284668E+03   1.69200000000E+03  3100-66-20  
   1.86243078613E+03   1.70900000000E+03  3100-71-355 
   1.82407873535E+03   1.63500000000E+03  2939-42-351 
   1.84260058594E+03   1.66900000000E+03  2939-61-5   
   1.86172827148E+03   1.72500000000E+03  2939-70-352 
   1.86432299805E+03   1.72700000000E+03  2939-71-355 
   1.80713366699E+03   1.69700000000E+03  3099-21-335 
   1.84196032715E+03   1.66500000000E+03  3099-61-5   
   1.84720129395E+03   1.69800000000E+03  3099-66-20  
   1.86401232910E+03   1.72300000000E+03  3099-71-355 
   1.81154650879E+03   1.77300000000E+03  3113-1-59   
   1.81298522949E+03   1.76800000000E+03  3113-6-341  
   1.81339135742E+03   1.75200000000E+03  3113-12-362 
   1.81726318359E+03   1.70300000000E+03  3113-22-37  
   1.82125988770E+03   1.69700000000E+03  3113-27-31  
   1.82824108887E+03   1.65300000000E+03  3113-37-341 
   1.83605212402E+03   1.68400000000E+03  3113-42-349 
   1.84460217285E+03   1.66400000000E+03  3113-48-341 
   1.85292346191E+03   1.69400000000E+03  3113-55-354 
   1.85393774414E+03   1.71600000000E+03  3113-60-319 
   1.86106140137E+03   1.74400000000E+03  3113-65-298 
   1.87986572266E+03   1.75700000000E+03  3113-71-355 
   1.81747888184E+03   1.74400000000E+03  3097-12-170 
   1.82092590332E+03   1.72300000000E+03  3097-17-5   
   1.84185498047E+03   1.66400000000E+03  3097-42-351 
   1.85077880859E+03   1.67900000000E+03  3097-48-348 
   1.85893701172E+03   1.69600000000E+03  3097-55-354 
   1.86029455566E+03   1.71800000000E+03  3097-61-5   
   1.86779125977E+03   1.75000000000E+03  3097-65-361 
   1.88680541992E+03   1.76000000000E+03  3097-71-355 
   1.84091882324E+03   1.66600000000E+03  3095-42-351 
   1.84980419922E+03   1.68200000000E+03  3095-48-348 
   1.85794494629E+03   1.69800000000E+03  3095-55-354 
   1.85931091309E+03   1.72000000000E+03  3095-61-5   
   1.86670739746E+03   1.75200000000E+03  3095-65-361 
   1.88561608887E+03   1.76100000000E+03  3095-71-355 
   1.82408618164E+03   1.77300000000E+03  3096-8-283  
   1.82856982422E+03   1.73600000000E+03  3096-17-5   
   1.82945690918E+03   1.70800000000E+03  3096-21-335 
   1.82576489258E+03   1.77500000000E+03  3135-8-282  
   1.82519213867E+03   1.76600000000E+03  3135-11-355 
   1.82993005371E+03   1.73900000000E+03  3135-16-349 
   1.83090588379E+03   1.70800000000E+03  3135-21-312 
   1.83532861328E+03   1.68000000000E+03  3135-26-292 
   1.84495068359E+03   1.64100000000E+03  3135-38-5   
   1.86231079102E+03   1.67800000000E+03  3135-48-337 
   1.87178637695E+03   1.70000000000E+03  3135-56-19  
   1.87309045410E+03   1.71700000000E+03  3135-61-60  
   1.86862207031E+03   1.71300000000E+03  3121-55-354 
   1.86936291504E+03   1.72400000000E+03  3121-61-5   
   1.87964990234E+03   1.76000000000E+03  3121-66-20  
   1.89967102051E+03   1.77200000000E+03  3121-71-365 
   1.83864001465E+03   1.77900000000E+03  3059-10-57  
   1.84351550293E+03   1.74400000000E+03  3059-17-5   
   1.85019360352E+03   1.69300000000E+03  3059-27-31  
   1.86053845215E+03   1.71700000000E+03  3059-37-33  
   1.87127819824E+03   1.68100000000E+03  3059-42-349 
   1.88118225098E+03   1.70000000000E+03  3059-48-342 
   1.89008068848E+03   1.72000000000E+03  3059-56-20  
   1.89113562012E+03   1.74200000000E+03  3059-60-319 
   1.90458056641E+03   1.77700000000E+03  3059-65-301 
   1.92787512207E+03   1.78700000000E+03  3059-71-365 
   1.83298608398E+03   1.70900000000E+03  3078-21-335 
   1.82101611328E+03   1.76200000000E+03  3080-11-297 
   1.87572106934E+03   1.71600000000E+03  3075-56-20  
   1.81355566406E+03   1.77400000000E+03  3089-2-339  
   1.81453540039E+03   1.77200000000E+03  3089-6-341  
   1.81508520508E+03   1.76300000000E+03  3089-12-362 
   1.81760034180E+03   1.74500000000E+03  3089-16-313 
   1.83752514648E+03   1.69300000000E+03  3089-42-351 
   1.86240429688E+03   1.74300000000E+03  3089-65-361 
   1.88085607910E+03   1.75500000000E+03  3089-71-355 
   1.82156701660E+03   1.76700000000E+03  3053-11-297 
   1.82390136719E+03   1.74100000000E+03  3053-16-349 
   1.82505236816E+03   1.71000000000E+03  3053-22-37  
   1.83193005371E+03   1.66800000000E+03  3053-32-85  
   1.84603845215E+03   1.66000000000E+03  3053-42-351 
   1.85597851562E+03   1.67600000000E+03  3053-48-348 
   1.86338159180E+03   1.68900000000E+03  3053-55-353 
   1.86562268066E+03   1.70600000000E+03  3053-61-5   
   1.87186987305E+03   1.73500000000E+03  3053-65-361 
   1.89107702637E+03   1.75200000000E+03  3053-71-355 
   1.86359533691E+03   1.68900000000E+03  3050-55-353 
   1.86583752441E+03   1.70600000000E+03  3050-61-5   
   1.87209033203E+03   1.73500000000E+03  3050-65-361 
   1.89131323242E+03   1.75200000000E+03  3050-71-355 
   1.83450769043E+03   1.61800000000E+03  3076-37-33  
   1.84349328613E+03   1.65600000000E+03  3076-42-349 
   1.85343530273E+03   1.67600000000E+03  3076-48-342 
   1.86107543945E+03   1.69500000000E+03  3076-56-23  
   1.86328430176E+03   1.70100000000E+03  3076-61-60  
   1.87058032227E+03   1.74200000000E+03  3076-66-24  
   1.84391601562E+03   1.65900000000E+03  3077-55-354 
   1.84650622559E+03   1.66500000000E+03  3077-61-5   
   1.85174401855E+03   1.69000000000E+03  3077-66-20  
   1.86881933594E+03   1.71800000000E+03  3077-71-355 
   1.83917187500E+03   1.66300000000E+03  3065-48-348 
   1.81905310059E+03   1.78400000000E+03  3021-1-107  
   1.81928137207E+03   1.78200000000E+03  3021-7-3    
   1.81910937500E+03   1.78100000000E+03  3020-7-3    
   1.81972119141E+03   1.77500000000E+03  3020-12-59  
   1.82059838867E+03   1.75500000000E+03  3020-16-314 
   1.82125732422E+03   1.73100000000E+03  3020-22-37  
   1.82464868164E+03   1.69700000000E+03  3020-27-31  
   1.83035839844E+03   1.78000000000E+03  2989-12-59  
   1.84652929688E+03   1.74800000000E+03  2995-16-313 
   1.84837402344E+03   1.73400000000E+03  2995-22-37  
   1.85381567383E+03   1.71900000000E+03  2995-27-31  
   1.85877343750E+03   1.72300000000E+03  2995-32-85  
   1.87418200684E+03   1.67600000000E+03  3201-48-300 
   1.88267504883E+03   1.68500000000E+03  3201-55-321 
   1.88513977051E+03   1.69200000000E+03  3201-60-312 
   1.89713244629E+03   1.70600000000E+03  3201-65-363 
   1.91615283203E+03   1.72600000000E+03  3201-71-10  
   1.87105493164E+03   1.67800000000E+03  3202-48-300 
   1.87970275879E+03   1.68700000000E+03  3202-55-321 
   1.88226647949E+03   1.69600000000E+03  3202-60-312 
   1.89317504883E+03   1.72000000000E+03  3202-65-363 
   1.91210290527E+03   1.74500000000E+03  3202-71-10  
   1.86975012207E+03   1.76300000000E+03  3200-21-335 
   1.87838500977E+03   1.72800000000E+03  3200-32-6   
   1.88434912109E+03   1.71200000000E+03  3200-36-351 
   1.90366015625E+03   1.69500000000E+03  3200-49-54  
   1.91127221680E+03   1.69900000000E+03  3200-56-24  
   1.91447583008E+03   1.70600000000E+03  3200-60-319 
   1.92634594727E+03   1.71800000000E+03  3200-65-298 
   1.95102062988E+03   1.73600000000E+03  3200-71-365 
   1.84474951172E+03   1.79100000000E+03  3154-1-337  
   1.84574707031E+03   1.78200000000E+03  3154-6-286  
   1.84674768066E+03   1.77800000000E+03  3154-11-298 
   1.85078576660E+03   1.74200000000E+03  3154-16-358 
   1.85336022949E+03   1.71200000000E+03  3154-21-343 
   1.86225781250E+03   1.66000000000E+03  3154-32-85  
   1.87019091797E+03   1.64900000000E+03  3154-37-33  
   1.88074121094E+03   1.65100000000E+03  3154-42-349 
   1.88959802246E+03   1.68100000000E+03  3150-48-337 
   1.89935266113E+03   1.70400000000E+03  3150-56-23  
   1.90055358887E+03   1.72000000000E+03  3150-60-319 
   1.91619616699E+03   1.75200000000E+03  3150-65-298 
   1.93903381348E+03   1.77500000000E+03  3150-71-11  
   1.94145678711E+03   1.77600000000E+03  3150-71-365 
   1.84574902344E+03   1.76600000000E+03  3158-12-85  
   1.85007141113E+03   1.74000000000E+03  3158-16-342 
   1.85275732422E+03   1.71200000000E+03  3158-21-346 
